Número interno de finca MOVE;Región/ Zona o cooperativa;Técnico a cargo;Nombre productor;Municipio;Departamento
2104;XXXX;PPP;SNBGS;XXX;XX
2111;XXXX;QQQ;XXX;XXX;XX
2112;XXXX;XXX;FADFBA;XXX;XX
2114;XXXX;YYY;FDSBSDF;XXX;XX
2115;XXXX;KKK;DFGN;XXX;XX
2116;XXXX;ÑÑÑ;SNBGS;XXX;XX
2117;XXXX;PPP;XXX;XXX;XX
2118;XXXX;QQQ;FADFBA;XXX;XX
2119;XXXX;XXX;FDSBSDF;XXX;XX
2122;XXXX;YYY;DFGN;XXX;XX
2123;XXXX;KKK;SNBGS;XXX;XX
2126;XXXX;ÑÑÑ;XXX;XXX;XX
2128;XXXX;PPP;FADFBA;XXX;XX
2129;XXXX;QQQ;FDSBSDF;XXX;XX
2130;XXXX;XXX;DFGN;XXX;XX
2131;XXXX;YYY;SNBGS;XXX;XX
2132;XXXX;KKK;XXX;XXX;XX
2133;XXXX;ÑÑÑ;FADFBA;XXX;XX
2137;XXXX;PPP;FDSBSDF;XXX;XX
2140;XXXX;QQQ;DFGN;XXX;XX
2148;XXXX;XXX;SNBGS;XXX;XX
2150;XXXX;YYY;XXX;XXX;XX
2155;XXXX;KKK;FADFBA;XXX;XX
2157;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2158;XXXX;PPP;DFGN;XXX;XX
2161;XXXX;QQQ;SNBGS;XXX;XX
2162;XXXX;XXX;XXX;XXX;XX
2163;XXXX;YYY;FADFBA;XXX;XX
2165;XXXX;KKK;FDSBSDF;XXX;XX
2171;XXXX;ÑÑÑ;DFGN;XXX;XX
2172;XXXX;PPP;SNBGS;XXX;XX
2173;XXXX;QQQ;XXX;XXX;XX
2174;XXXX;XXX;FADFBA;XXX;XX
2176;XXXX;YYY;FDSBSDF;XXX;XX
2182;XXXX;KKK;DFGN;XXX;XX
2183;XXXX;ÑÑÑ;SNBGS;XXX;XX
2282;XXXX;PPP;XXX;XXX;XX
2295;XXXX;QQQ;FADFBA;XXX;XX
2296;XXXX;XXX;FDSBSDF;XXX;XX
2297;XXXX;YYY;DFGN;XXX;XX
2298;XXXX;KKK;SNBGS;XXX;XX
2299;XXXX;ÑÑÑ;XXX;XXX;XX
2305;XXXX;PPP;FADFBA;XXX;XX
2306;XXXX;QQQ;FDSBSDF;XXX;XX
2308;XXXX;XXX;DFGN;XXX;XX
2310;XXXX;YYY;SNBGS;XXX;XX
2312;XXXX;KKK;XXX;XXX;XX
2313;XXXX;ÑÑÑ;FADFBA;XXX;XX
2315;XXXX;PPP;FDSBSDF;XXX;XX
2316;XXXX;QQQ;DFGN;XXX;XX
2318;XXXX;XXX;SNBGS;XXX;XX
2319;XXXX;YYY;XXX;XXX;XX
2320;XXXX;KKK;FADFBA;XXX;XX
2325;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2328;XXXX;PPP;DFGN;XXX;XX
2329;XXXX;QQQ;SNBGS;XXX;XX
2330;XXXX;XXX;XXX;XXX;XX
2331;XXXX;YYY;FADFBA;XXX;XX
2334;XXXX;KKK;FDSBSDF;XXX;XX
2335;XXXX;ÑÑÑ;DFGN;XXX;XX
2337;XXXX;PPP;SNBGS;XXX;XX
2340;XXXX;QQQ;XXX;XXX;XX
2343;XXXX;XXX;FADFBA;XXX;XX
2345;XXXX;YYY;FDSBSDF;XXX;XX
2346;XXXX;KKK;DFGN;XXX;XX
2347;XXXX;ÑÑÑ;SNBGS;XXX;XX
2351;XXXX;PPP;XXX;XXX;XX
2352;XXXX;QQQ;FADFBA;XXX;XX
2353;XXXX;XXX;FDSBSDF;XXX;XX
2354;XXXX;YYY;DFGN;XXX;XX
2355;XXXX;KKK;SNBGS;XXX;XX
2356;XXXX;ÑÑÑ;XXX;XXX;XX
2357;XXXX;PPP;FADFBA;XXX;XX
2358;XXXX;QQQ;FDSBSDF;XXX;XX
2361;XXXX;XXX;DFGN;XXX;XX
2362;XXXX;YYY;SNBGS;XXX;XX
2363;XXXX;KKK;XXX;XXX;XX
2364;XXXX;ÑÑÑ;FADFBA;XXX;XX
2365;XXXX;PPP;FDSBSDF;XXX;XX
2366;XXXX;QQQ;DFGN;XXX;XX
2367;XXXX;XXX;SNBGS;XXX;XX
2368;XXXX;YYY;XXX;XXX;XX
2369;XXXX;KKK;FADFBA;XXX;XX
2372;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2376;XXXX;PPP;DFGN;XXX;XX
2377;XXXX;QQQ;SNBGS;XXX;XX
2378;XXXX;XXX;XXX;XXX;XX
2380;XXXX;YYY;FADFBA;XXX;XX
2382;XXXX;KKK;FDSBSDF;XXX;XX
2384;XXXX;ÑÑÑ;DFGN;XXX;XX
2386;XXXX;PPP;SNBGS;XXX;XX
2388;XXXX;QQQ;XXX;XXX;XX
2391;XXXX;XXX;FADFBA;XXX;XX
2393;XXXX;YYY;FDSBSDF;XXX;XX
2394;XXXX;KKK;DFGN;XXX;XX
2398;XXXX;ÑÑÑ;SNBGS;XXX;XX
2400;XXXX;PPP;XXX;XXX;XX
2401;XXXX;QQQ;FADFBA;XXX;XX
2402;XXXX;XXX;FDSBSDF;XXX;XX
2403;XXXX;YYY;DFGN;XXX;XX
2404;XXXX;KKK;SNBGS;XXX;XX
2405;XXXX;ÑÑÑ;XXX;XXX;XX
2406;XXXX;PPP;FADFBA;XXX;XX
2407;XXXX;QQQ;FDSBSDF;XXX;XX
2408;XXXX;XXX;DFGN;XXX;XX
2411;XXXX;YYY;SNBGS;XXX;XX
2412;XXXX;KKK;XXX;XXX;XX
2413;XXXX;ÑÑÑ;FADFBA;XXX;XX
2415;XXXX;PPP;FDSBSDF;XXX;XX
2417;XXXX;QQQ;DFGN;XXX;XX
2418;XXXX;XXX;SNBGS;XXX;XX
2420;XXXX;YYY;XXX;XXX;XX
2421;XXXX;KKK;FADFBA;XXX;XX
2426;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2429;XXXX;PPP;DFGN;XXX;XX
2430;XXXX;QQQ;SNBGS;XXX;XX
2431;XXXX;XXX;XXX;XXX;XX
2433;XXXX;YYY;FADFBA;XXX;XX
2435;XXXX;KKK;FDSBSDF;XXX;XX
2439;XXXX;ÑÑÑ;DFGN;XXX;XX
2440;XXXX;PPP;SNBGS;XXX;XX
2442;XXXX;QQQ;XXX;XXX;XX
2444;XXXX;XXX;FADFBA;XXX;XX
2445;XXXX;YYY;FDSBSDF;XXX;XX
2446;XXXX;KKK;DFGN;XXX;XX
2447;XXXX;ÑÑÑ;SNBGS;XXX;XX
2449;XXXX;PPP;XXX;XXX;XX
2450;XXXX;QQQ;FADFBA;XXX;XX
2454;XXXX;XXX;FDSBSDF;XXX;XX
2455;XXXX;YYY;DFGN;XXX;XX
2458;XXXX;KKK;SNBGS;XXX;XX
2460;XXXX;ÑÑÑ;XXX;XXX;XX
2461;XXXX;PPP;FADFBA;XXX;XX
2463;XXXX;QQQ;FDSBSDF;XXX;XX
2467;XXXX;XXX;DFGN;XXX;XX
2469;XXXX;YYY;SNBGS;XXX;XX
2473;XXXX;KKK;XXX;XXX;XX
2478;XXXX;ÑÑÑ;FADFBA;XXX;XX
2487;XXXX;PPP;FDSBSDF;XXX;XX
2492;XXXX;QQQ;DFGN;XXX;XX
2494;XXXX;XXX;SNBGS;XXX;XX
2496;XXXX;YYY;XXX;XXX;XX
2497;XXXX;KKK;FADFBA;XXX;XX
2499;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2500;XXXX;PPP;DFGN;XXX;XX
2503;XXXX;QQQ;SNBGS;XXX;XX
2506;XXXX;XXX;XXX;XXX;XX
2508;XXXX;YYY;FADFBA;XXX;XX
2509;XXXX;KKK;FDSBSDF;XXX;XX
2510;XXXX;ÑÑÑ;DFGN;XXX;XX
2514;XXXX;PPP;SNBGS;XXX;XX
2523;XXXX;QQQ;XXX;XXX;XX
2525;XXXX;XXX;FADFBA;XXX;XX
2527;XXXX;YYY;FDSBSDF;XXX;XX
2528;XXXX;KKK;DFGN;XXX;XX
2530;XXXX;ÑÑÑ;SNBGS;XXX;XX
2531;XXXX;PPP;XXX;XXX;XX
2540;XXXX;QQQ;FADFBA;XXX;XX
2541;XXXX;XXX;FDSBSDF;XXX;XX
2542;XXXX;YYY;DFGN;XXX;XX
2545;XXXX;KKK;SNBGS;XXX;XX
2553;XXXX;ÑÑÑ;XXX;XXX;XX
2554;XXXX;PPP;FADFBA;XXX;XX
2556;XXXX;QQQ;FDSBSDF;XXX;XX
2566;XXXX;XXX;DFGN;XXX;XX
2567;XXXX;YYY;SNBGS;XXX;XX
2569;XXXX;KKK;XXX;XXX;XX
2572;XXXX;ÑÑÑ;FADFBA;XXX;XX
2573;XXXX;PPP;FDSBSDF;XXX;XX
2575;XXXX;QQQ;DFGN;XXX;XX
2577;XXXX;XXX;SNBGS;XXX;XX
2579;XXXX;YYY;XXX;XXX;XX
2581;XXXX;KKK;FADFBA;XXX;XX
2584;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2588;XXXX;PPP;DFGN;XXX;XX
2590;XXXX;QQQ;SNBGS;XXX;XX
2591;XXXX;XXX;XXX;XXX;XX
2595;XXXX;YYY;FADFBA;XXX;XX
2596;XXXX;KKK;FDSBSDF;XXX;XX
2597;XXXX;ÑÑÑ;DFGN;XXX;XX
2600;XXXX;PPP;SNBGS;XXX;XX
2604;XXXX;QQQ;XXX;XXX;XX
2605;XXXX;XXX;FADFBA;XXX;XX
2608;XXXX;YYY;FDSBSDF;XXX;XX
2615;XXXX;KKK;DFGN;XXX;XX
2620;XXXX;ÑÑÑ;SNBGS;XXX;XX
2621;XXXX;PPP;XXX;XXX;XX
2622;XXXX;QQQ;FADFBA;XXX;XX
2623;XXXX;XXX;FDSBSDF;XXX;XX
2625;XXXX;YYY;DFGN;XXX;XX
2627;XXXX;KKK;SNBGS;XXX;XX
2628;XXXX;ÑÑÑ;XXX;XXX;XX
2629;XXXX;PPP;FADFBA;XXX;XX
2630;XXXX;QQQ;FDSBSDF;XXX;XX
2631;XXXX;XXX;DFGN;XXX;XX
2633;XXXX;YYY;SNBGS;XXX;XX
2634;XXXX;KKK;XXX;XXX;XX
2635;XXXX;ÑÑÑ;FADFBA;XXX;XX
2636;XXXX;PPP;FDSBSDF;XXX;XX
2637;XXXX;QQQ;DFGN;XXX;XX
2639;XXXX;XXX;SNBGS;XXX;XX
2640;XXXX;YYY;XXX;XXX;XX
2641;XXXX;KKK;FADFBA;XXX;XX
2642;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2644;XXXX;PPP;DFGN;XXX;XX
2646;XXXX;QQQ;SNBGS;XXX;XX
2647;XXXX;XXX;XXX;XXX;XX
2648;XXXX;YYY;FADFBA;XXX;XX
2649;XXXX;KKK;FDSBSDF;XXX;XX
2650;XXXX;ÑÑÑ;DFGN;XXX;XX
2652;XXXX;PPP;SNBGS;XXX;XX
2655;XXXX;QQQ;XXX;XXX;XX
2656;XXXX;XXX;FADFBA;XXX;XX
2657;XXXX;YYY;FDSBSDF;XXX;XX
2658;XXXX;KKK;DFGN;XXX;XX
2659;XXXX;ÑÑÑ;SNBGS;XXX;XX
2661;XXXX;PPP;XXX;XXX;XX
2662;XXXX;QQQ;FADFBA;XXX;XX
2663;XXXX;XXX;FDSBSDF;XXX;XX
2668;XXXX;YYY;DFGN;XXX;XX
2669;XXXX;KKK;SNBGS;XXX;XX
2670;XXXX;ÑÑÑ;XXX;XXX;XX
2672;XXXX;PPP;FADFBA;XXX;XX
2673;XXXX;QQQ;FDSBSDF;XXX;XX
2674;XXXX;XXX;DFGN;XXX;XX
2675;XXXX;YYY;SNBGS;XXX;XX
2677;XXXX;KKK;XXX;XXX;XX
2678;XXXX;ÑÑÑ;FADFBA;XXX;XX
2679;XXXX;PPP;FDSBSDF;XXX;XX
2683;XXXX;QQQ;DFGN;XXX;XX
2684;XXXX;XXX;SNBGS;XXX;XX
2686;XXXX;YYY;XXX;XXX;XX
2687;XXXX;KKK;FADFBA;XXX;XX
2689;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2691;XXXX;PPP;DFGN;XXX;XX
2692;XXXX;QQQ;SNBGS;XXX;XX
2695;XXXX;XXX;XXX;XXX;XX
2696;XXXX;YYY;FADFBA;XXX;XX
2697;XXXX;KKK;FDSBSDF;XXX;XX
2698;XXXX;ÑÑÑ;DFGN;XXX;XX
2700;XXXX;PPP;SNBGS;XXX;XX
2701;XXXX;QQQ;XXX;XXX;XX
2709;XXXX;XXX;FADFBA;XXX;XX
2710;XXXX;YYY;FDSBSDF;XXX;XX
2711;XXXX;KKK;DFGN;XXX;XX
2714;XXXX;ÑÑÑ;SNBGS;XXX;XX
2716;XXXX;PPP;XXX;XXX;XX
2719;XXXX;QQQ;FADFBA;XXX;XX
2721;XXXX;XXX;FDSBSDF;XXX;XX
2722;XXXX;YYY;DFGN;XXX;XX
2723;XXXX;KKK;SNBGS;XXX;XX
2724;XXXX;ÑÑÑ;XXX;XXX;XX
2725;XXXX;PPP;FADFBA;XXX;XX
2728;XXXX;QQQ;FDSBSDF;XXX;XX
2729;XXXX;XXX;DFGN;XXX;XX
2733;XXXX;YYY;SNBGS;XXX;XX
2740;XXXX;KKK;XXX;XXX;XX
2741;XXXX;ÑÑÑ;FADFBA;XXX;XX
2742;XXXX;PPP;FDSBSDF;XXX;XX
2744;XXXX;QQQ;DFGN;XXX;XX
2745;XXXX;XXX;SNBGS;XXX;XX
2746;XXXX;YYY;XXX;XXX;XX
2748;XXXX;KKK;FADFBA;XXX;XX
2749;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2752;XXXX;PPP;DFGN;XXX;XX
2753;XXXX;QQQ;SNBGS;XXX;XX
2755;XXXX;XXX;XXX;XXX;XX
2756;XXXX;YYY;FADFBA;XXX;XX
2758;XXXX;KKK;FDSBSDF;XXX;XX
2760;XXXX;ÑÑÑ;DFGN;XXX;XX
2761;XXXX;PPP;SNBGS;XXX;XX
2762;XXXX;QQQ;XXX;XXX;XX
2763;XXXX;XXX;FADFBA;XXX;XX
2764;XXXX;YYY;FDSBSDF;XXX;XX
2766;XXXX;KKK;DFGN;XXX;XX
2767;XXXX;ÑÑÑ;SNBGS;XXX;XX
2768;XXXX;PPP;XXX;XXX;XX
2769;XXXX;QQQ;FADFBA;XXX;XX
2770;XXXX;XXX;FDSBSDF;XXX;XX
2775;XXXX;YYY;DFGN;XXX;XX
2778;XXXX;KKK;SNBGS;XXX;XX
2780;XXXX;ÑÑÑ;XXX;XXX;XX
2781;XXXX;PPP;FADFBA;XXX;XX
2782;XXXX;QQQ;FDSBSDF;XXX;XX
2784;XXXX;XXX;DFGN;XXX;XX
2793;XXXX;YYY;SNBGS;XXX;XX
2794;XXXX;KKK;XXX;XXX;XX
2795;XXXX;ÑÑÑ;FADFBA;XXX;XX
2802;XXXX;PPP;FDSBSDF;XXX;XX
2805;XXXX;QQQ;DFGN;XXX;XX
2806;XXXX;XXX;SNBGS;XXX;XX
2809;XXXX;YYY;XXX;XXX;XX
2812;XXXX;KKK;FADFBA;XXX;XX
2815;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2816;XXXX;PPP;DFGN;XXX;XX
2817;XXXX;QQQ;SNBGS;XXX;XX
2819;XXXX;XXX;XXX;XXX;XX
2820;XXXX;YYY;FADFBA;XXX;XX
2821;XXXX;KKK;FDSBSDF;XXX;XX
2822;XXXX;ÑÑÑ;DFGN;XXX;XX
2823;XXXX;PPP;SNBGS;XXX;XX
2828;XXXX;QQQ;XXX;XXX;XX
2829;XXXX;XXX;FADFBA;XXX;XX
2830;XXXX;YYY;FDSBSDF;XXX;XX
2831;XXXX;KKK;DFGN;XXX;XX
2832;XXXX;ÑÑÑ;SNBGS;XXX;XX
2834;XXXX;PPP;XXX;XXX;XX
2835;XXXX;QQQ;FADFBA;XXX;XX
2837;XXXX;XXX;FDSBSDF;XXX;XX
2838;XXXX;YYY;DFGN;XXX;XX
2839;XXXX;KKK;SNBGS;XXX;XX
2841;XXXX;ÑÑÑ;XXX;XXX;XX
2846;XXXX;PPP;FADFBA;XXX;XX
2850;XXXX;QQQ;FDSBSDF;XXX;XX
2854;XXXX;XXX;DFGN;XXX;XX
2857;XXXX;YYY;SNBGS;XXX;XX
2859;XXXX;KKK;XXX;XXX;XX
2860;XXXX;ÑÑÑ;FADFBA;XXX;XX
2861;XXXX;PPP;FDSBSDF;XXX;XX
2862;XXXX;QQQ;DFGN;XXX;XX
2863;XXXX;XXX;SNBGS;XXX;XX
2864;XXXX;YYY;XXX;XXX;XX
2865;XXXX;KKK;FADFBA;XXX;XX
2866;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2870;XXXX;PPP;DFGN;XXX;XX
2876;XXXX;QQQ;SNBGS;XXX;XX
2879;XXXX;XXX;XXX;XXX;XX
2880;XXXX;YYY;FADFBA;XXX;XX
2882;XXXX;KKK;FDSBSDF;XXX;XX
2885;XXXX;ÑÑÑ;DFGN;XXX;XX
2887;XXXX;PPP;SNBGS;XXX;XX
2889;XXXX;QQQ;XXX;XXX;XX
2890;XXXX;XXX;FADFBA;XXX;XX
2891;XXXX;YYY;FDSBSDF;XXX;XX
2895;XXXX;KKK;DFGN;XXX;XX
2898;XXXX;ÑÑÑ;SNBGS;XXX;XX
2899;XXXX;PPP;XXX;XXX;XX
2901;XXXX;QQQ;FADFBA;XXX;XX
2903;XXXX;XXX;FDSBSDF;XXX;XX
2906;XXXX;YYY;DFGN;XXX;XX
2908;XXXX;KKK;SNBGS;XXX;XX
2909;XXXX;ÑÑÑ;XXX;XXX;XX
2911;XXXX;PPP;FADFBA;XXX;XX
2912;XXXX;QQQ;FDSBSDF;XXX;XX
2914;XXXX;XXX;DFGN;XXX;XX
2916;XXXX;YYY;SNBGS;XXX;XX
2917;XXXX;KKK;XXX;XXX;XX
2918;XXXX;ÑÑÑ;FADFBA;XXX;XX
2919;XXXX;PPP;FDSBSDF;XXX;XX
2924;XXXX;QQQ;DFGN;XXX;XX
2926;XXXX;XXX;SNBGS;XXX;XX
2928;XXXX;YYY;XXX;XXX;XX
2929;XXXX;KKK;FADFBA;XXX;XX
2931;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2932;XXXX;PPP;DFGN;XXX;XX
2941;XXXX;QQQ;SNBGS;XXX;XX
2944;XXXX;XXX;XXX;XXX;XX
2945;XXXX;YYY;FADFBA;XXX;XX
2947;XXXX;KKK;FDSBSDF;XXX;XX
2948;XXXX;ÑÑÑ;DFGN;XXX;XX
2950;XXXX;PPP;SNBGS;XXX;XX
2951;XXXX;QQQ;XXX;XXX;XX
2952;XXXX;XXX;FADFBA;XXX;XX
2956;XXXX;YYY;FDSBSDF;XXX;XX
2957;XXXX;KKK;DFGN;XXX;XX
2958;XXXX;ÑÑÑ;SNBGS;XXX;XX
2960;XXXX;PPP;XXX;XXX;XX
2961;XXXX;QQQ;FADFBA;XXX;XX
2962;XXXX;XXX;FDSBSDF;XXX;XX
2963;XXXX;YYY;DFGN;XXX;XX
2966;XXXX;KKK;SNBGS;XXX;XX
2967;XXXX;ÑÑÑ;XXX;XXX;XX
2968;XXXX;PPP;FADFBA;XXX;XX
2969;XXXX;QQQ;FDSBSDF;XXX;XX
2971;XXXX;XXX;DFGN;XXX;XX
2973;XXXX;YYY;SNBGS;XXX;XX
2974;XXXX;KKK;XXX;XXX;XX
2975;XXXX;ÑÑÑ;FADFBA;XXX;XX
2982;XXXX;PPP;FDSBSDF;XXX;XX
2991;XXXX;QQQ;DFGN;XXX;XX
2992;XXXX;XXX;SNBGS;XXX;XX
2993;XXXX;YYY;XXX;XXX;XX
2994;XXXX;KKK;FADFBA;XXX;XX
2995;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
2997;XXXX;PPP;DFGN;XXX;XX
2998;XXXX;QQQ;SNBGS;XXX;XX
3000;XXXX;XXX;XXX;XXX;XX
3004;XXXX;YYY;FADFBA;XXX;XX
3006;XXXX;KKK;FDSBSDF;XXX;XX
3008;XXXX;ÑÑÑ;DFGN;XXX;XX
3009;XXXX;PPP;SNBGS;XXX;XX
3011;XXXX;QQQ;XXX;XXX;XX
3012;XXXX;XXX;FADFBA;XXX;XX
3016;XXXX;YYY;FDSBSDF;XXX;XX
3018;XXXX;KKK;DFGN;XXX;XX
3019;XXXX;ÑÑÑ;SNBGS;XXX;XX
3029;XXXX;PPP;XXX;XXX;XX
3030;XXXX;QQQ;FADFBA;XXX;XX
3031;XXXX;XXX;FDSBSDF;XXX;XX
3034;XXXX;YYY;DFGN;XXX;XX
3040;XXXX;KKK;SNBGS;XXX;XX
3043;XXXX;ÑÑÑ;XXX;XXX;XX
3044;XXXX;PPP;FADFBA;XXX;XX
3045;XXXX;QQQ;FDSBSDF;XXX;XX
3049;XXXX;XXX;DFGN;XXX;XX
3050;XXXX;YYY;SNBGS;XXX;XX
3054;XXXX;KKK;XXX;XXX;XX
3060;XXXX;ÑÑÑ;FADFBA;XXX;XX
3061;XXXX;PPP;FDSBSDF;XXX;XX
3062;XXXX;QQQ;DFGN;XXX;XX
3063;XXXX;XXX;SNBGS;XXX;XX
3064;XXXX;YYY;XXX;XXX;XX
3066;XXXX;KKK;FADFBA;XXX;XX
3067;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
3068;XXXX;PPP;DFGN;XXX;XX
3070;XXXX;QQQ;SNBGS;XXX;XX
3072;XXXX;XXX;XXX;XXX;XX
3073;XXXX;YYY;FADFBA;XXX;XX
3074;XXXX;KKK;FDSBSDF;XXX;XX
3078;XXXX;ÑÑÑ;DFGN;XXX;XX
3079;XXXX;PPP;SNBGS;XXX;XX
3080;XXXX;QQQ;XXX;XXX;XX
3082;XXXX;XXX;FADFBA;XXX;XX
3083;XXXX;YYY;FDSBSDF;XXX;XX
3085;XXXX;KKK;DFGN;XXX;XX
3086;XXXX;ÑÑÑ;SNBGS;XXX;XX
3089;XXXX;PPP;XXX;XXX;XX
3092;XXXX;QQQ;FADFBA;XXX;XX
3097;XXXX;XXX;FDSBSDF;XXX;XX
3101;XXXX;YYY;DFGN;XXX;XX
3102;XXXX;KKK;SNBGS;XXX;XX
3103;XXXX;ÑÑÑ;XXX;XXX;XX
3105;XXXX;PPP;FADFBA;XXX;XX
3106;XXXX;QQQ;FDSBSDF;XXX;XX
3107;XXXX;XXX;DFGN;XXX;XX
3110;XXXX;YYY;SNBGS;XXX;XX
3111;XXXX;KKK;XXX;XXX;XX
3112;XXXX;ÑÑÑ;FADFBA;XXX;XX
3113;XXXX;PPP;FDSBSDF;XXX;XX
3114;XXXX;QQQ;DFGN;XXX;XX
3115;XXXX;XXX;SNBGS;XXX;XX
3116;XXXX;YYY;XXX;XXX;XX
3117;XXXX;KKK;FADFBA;XXX;XX
3118;XXXX;ÑÑÑ;FDSBSDF;XXX;XX
